region,country,year,coupling_rate
Western,Denmark,1990,28.978729994447363
Western,Finland,1990,27.750092427136607
Western,Denmark,1991,27.99704625128941
Western,Finland,1991,27.01867402891215
Western,Germany,1991,29.587897938042907
Western,Denmark,1992,27.506398736589883
Western,Finland,1992,26.07737680837879
Western,Germany,1992,29.345099696507674
Western,Netherlands,1992,30.786035649141947
Western,Denmark,1993,27.326587671415258
Western,Finland,1993,25.627756294774848
Western,Germany,1993,28.481026894678305
Western,Netherlands,1993,31.285426457251216
Western,Denmark,1994,27.89575591018394
Western,Finland,1994,26.14787186327046
Western,Germany,1994,27.67211282161656
Western,Netherlands,1994,30.999585991601545
Western,Denmark,1995,28.135845883342252
Western,Finland,1995,24.437016842812863
Western,Germany,1995,27.356902180846948
Western,Netherlands,1995,30.839821452447314
Western,Denmark,1996,28.260722373103224
Western,Finland,1996,25.09201346653378
Western,Germany,1996,27.671923423858377
Western,Netherlands,1996,30.209324575255515
Western,Finland,1997,24.789465089696037
Western,Germany,1997,27.713592306761136
Western,Denmark,1998,27.979452304683793
Western,Finland,1998,25.52587858439691
Western,Netherlands,1998,28.778775210929105
Western,Denmark,1999,28.279894908224403
Western,Finland,1999,25.110798505543706
Western,Netherlands,1999,28.15428488593607
Western,Denmark,2000,27.610810107457702
Western,Finland,2000,24.93256905411171
Western,Netherlands,2000,26.798069276445737
Western,Finland,2001,24.736955760910845
Western,Germany,2001,26.876334827552522
Western,Netherlands,2001,26.593868318255193
Western,Finland,2002,24.144545812180365
Western,Germany,2002,26.652294560738802
Western,Netherlands,2002,26.98597601937245
Western,Germany,2003,25.50825462511709
Western,Netherlands,2003,27.103434689013607
Western,Denmark,2004,25.148556398977902
Western,Finland,2004,23.387446134202786
Western,Germany,2004,24.713543452570566
Western,Netherlands,2004,27.10926910582697
Western,Denmark,2005,24.762315692371786
Western,Finland,2005,23.113120188073793
Western,Netherlands,2005,26.24046466788315
Western,Denmark,2006,24.70795315491436
Western,Finland,2006,22.644428004573275
Western,Germany,2006,23.248176780643462
Western,Netherlands,2006,25.486217262505072
Western,Denmark,2007,23.63159038238702
Western,Finland,2007,23.215250709990457
Western,Germany,2007,23.043915601574287
Western,Netherlands,2007,24.4561598360555
Western,Denmark,2008,23.743406402289246
Western,Finland,2008,23.62931782252947
Western,Germany,2008,22.8487858802462
Western,Netherlands,2008,24.11987723415779
Western,Denmark,2009,24.03009112248729
Western,Finland,2009,23.553253687711607
Western,Germany,2009,22.496785956905235
Western,Netherlands,2009,23.95671268487701
Western,Denmark,2010,23.10957330569019
Western,Finland,2010,22.918635246914477
Western,Germany,2010,23.08078706278704
Western,Netherlands,2010,24.032834632009244
Western,Denmark,2011,23.198776888284883
Western,Finland,2011,22.877133006924126
Western,France,2011,23.551718090509855
Western,Germany,2011,23.022317376858275
Western,Netherlands,2011,23.160957800418256
Western,Denmark,2012,23.933896584752183
Western,Finland,2012,23.133192968288075
Western,France,2012,23.483378365598142
Western,Germany,2012,23.23374227969147
Western,Netherlands,2012,23.402962980368198
Western,Denmark,2013,24.291179763989778
Western,Finland,2013,23.327071532362453
Western,France,2013,23.14772884180176
Western,Germany,2013,22.854684860803857
Western,Netherlands,2013,23.208181242129967
Western,Spain,2013,26.350922437283018
Western,Denmark,2014,24.94942318018365
Western,Finland,2014,22.14987930404401
Western,Germany,2014,23.3536356630988
Western,Netherlands,2014,24.162890366623323
Western,Spain,2014,25.940441382104883
Western,Denmark,2015,24.357370951581164
Western,Finland,2015,22.77881804857796
Western,Germany,2015,22.526147960088053
Western,Netherlands,2015,24.19176670286701
Western,Spain,2015,24.393585794019916
Western,Denmark,2016,24.727286338649765
Western,Finland,2016,22.78206584910342
Western,Germany,2016,22.915622190719866
Western,Netherlands,2016,24.121764936677867
Western,Spain,2016,24.343975204486544
Western,Denmark,2017,24.33472627032342
Western,Finland,2017,23.565074201936113
Western,Germany,2017,23.282648920525702
Western,Netherlands,2017,24.15510196373731
Western,Spain,2017,23.022664701513342
Western,Denmark,2018,24.491627767547428
Western,Finland,2018,22.958018473268982
Western,Germany,2018,23.01771029134255
Western,Netherlands,2018,24.604049199494614
Western,Spain,2018,22.017932474776792
Western,Denmark,2019,24.25893267583267
Western,Finland,2019,22.17761504963832
Western,France,2019,23.196919949854482
Western,Netherlands,2019,24.66173903031072
Western,Spain,2019,21.612851489037567
Western,Denmark,2020,24.094383627562596
Western,Finland,2020,21.187479548529204
Western,France,2020,23.500145569063175
Western,Germany,2020,23.837900732276783
Western,Netherlands,2020,25.186064108867892
Western,Poland,2020,25.32021513328386
Western,Spain,2020,21.43735145396332
Western,Finland,2021,22.462047437368266
Western,France,2021,22.764036174919937
Western,Germany,2021,23.5707189965128
Western,Netherlands,2021,24.155904554481694
Western,Poland,2021,23.630349197955955
Western,Spain,2021,21.440186391164232
Western,Denmark,2022,24.644002414343085
Western,Finland,2022,22.77596563780126
Western,France,2022,22.952484843638896
Western,Germany,2022,23.402704639873264
Western,Netherlands,2022,24.850561416939126
Western,Poland,2022,23.097429456559418
Western,Spain,2022,21.18768566702637
Western,Denmark,2023,25.510773096484215
Western,Finland,2023,23.144428881861007
Western,France,2023,22.700836188835403
Western,Germany,2023,22.860350154842138
Western,Netherlands,2023,25.277262178407952
Western,Poland,2023,22.623437584828757
Western,Spain,2023,21.779786903899865
Western,Finland,2024,23.3957780812432
Western,France,2024,23.130943965556842
Western,Germany,2024,22.651305020774075
Western,Netherlands,2024,25.7336143790531
