facet,year,series,value
1960-1980,1960,Counterfactual,0.0
1960-1980,1960,Actual,0.0
1960-1980,1970,Counterfactual,-28.2502687910934
1960-1980,1970,Actual,-5.52030899275819
1960-1980,1980,Counterfactual,-35.6548935992879
1960-1980,1980,Actual,-13.9844368237538
2000-2022,2000,Counterfactual,0.0
2000-2022,2000,Actual,0.0
2000-2022,2001,Counterfactual,0.589653777236123
2000-2022,2001,Actual,0.2662618982026
2000-2022,2002,Counterfactual,-0.13960051628554
2000-2022,2002,Actual,-0.255132474032536
2000-2022,2003,Counterfactual,-6.6709227765443
2000-2022,2003,Actual,-0.726587680927452
2000-2022,2004,Counterfactual,-3.46265814270302
2000-2022,2004,Actual,-1.48216784497747
2000-2022,2005,Counterfactual,1.37352145887304
2000-2022,2005,Actual,-1.96882366923387
2000-2022,2006,Counterfactual,-0.409054878001129
2000-2022,2006,Actual,-5.09160812108196
2000-2022,2007,Counterfactual,0.0185204588386085
2000-2022,2007,Actual,-5.86442860165764
2000-2022,2008,Counterfactual,6.53725871360373
2000-2022,2008,Actual,-7.24362023064089
2000-2022,2009,Counterfactual,4.96161922162179
2000-2022,2009,Actual,-8.77420364563905
2000-2022,2010,Counterfactual,0.196004252175314
2000-2022,2010,Actual,-8.97373319571786
2000-2022,2011,Counterfactual,0.291682812917088
2000-2022,2011,Actual,-10.4450114186192
2000-2022,2012,Counterfactual,-3.80597444455273
2000-2022,2012,Actual,-10.8364392813974
2000-2022,2013,Counterfactual,-3.57667046513038
2000-2022,2013,Actual,-11.5352357253368
2000-2022,2014,Counterfactual,-3.90705618114696
2000-2022,2014,Actual,-11.9614032698962
2000-2022,2015,Counterfactual,-5.1119172398006
2000-2022,2015,Actual,-12.0313594070686
2000-2022,2016,Counterfactual,-3.07281287307339
2000-2022,2016,Actual,-12.9864747363176
2000-2022,2017,Counterfactual,-3.99673756184522
2000-2022,2017,Actual,-12.4813143331527
2000-2022,2018,Counterfactual,-5.05041997849038
2000-2022,2018,Actual,-12.7897486757047
2000-2022,2019,Counterfactual,-7.51404013428875
2000-2022,2019,Actual,-12.8982689092111
2000-2022,2021,Counterfactual,-4.8098887304228
2000-2022,2021,Actual,-13.7364504353209
2000-2022,2022,Counterfactual,-2.47450458505207
2000-2022,2022,Actual,-14.4548227718969
