facet,year,series,value
UK,1992,Degree or higher,66.3418493564705
UK,1992,Below degree,71.0883379230505
UK,1993,Degree or higher,66.097566653569
UK,1993,Below degree,71.1059675046148
UK,1994,Degree or higher,65.0685387670771
UK,1994,Below degree,70.0006541751737
UK,1996,Below degree,67.5672998815789
UK,1997,Below degree,67.2528203181821
UK,1998,Degree or higher,64.2090623627364
UK,1998,Below degree,66.5604867916934
UK,1999,Degree or higher,63.4003055867724
UK,1999,Below degree,66.1997225078487
UK,2003,Degree or higher,63.9499887617581
UK,2003,Below degree,65.3957323436623
UK,2004,Degree or higher,64.2947076978439
UK,2004,Below degree,65.9240858735104
UK,2005,Degree or higher,64.1087296948339
UK,2005,Below degree,66.2303745329157
UK,2006,Degree or higher,63.5150056978678
UK,2006,Below degree,65.449058051098
UK,2007,Degree or higher,62.9037503608732
UK,2007,Below degree,64.017305747249
UK,2008,Degree or higher,62.1749088127128
UK,2008,Below degree,63.6033320576243
UK,2012,Degree or higher,64.6327533781652
UK,2012,Below degree,62.5030625933664
UK,2013,Degree or higher,64.8812368551537
UK,2013,Below degree,61.3082854630981
UK,2014,Degree or higher,64.1285390286791
UK,2014,Below degree,60.5927195117907
UK,2016,Degree or higher,63.9267964419929
UK,2016,Below degree,59.784151273784
UK,2017,Degree or higher,63.1992497342668
UK,2017,Below degree,58.3562864452485
UK,2018,Degree or higher,61.7681714073041
UK,2018,Below degree,56.9611175140895
UK,2019,Degree or higher,61.2
UK,2019,Below degree,56.4
US,1980,D o H,66.7607681916214
US,1980,No c,70.3625113930724
US,1981,D o H,65.8899855303304
US,1981,No c,69.6287991122288
US,1982,D o H,64.9171466584966
US,1982,No c,69.0420330870267
US,1983,D o H,63.6298902085891
US,1983,No c,68.023285107175
US,1984,D o H,63.042398240874
US,1984,No c,67.0965734832905
US,1985,D o H,62.7242384863968
US,1985,No c,66.3576722767364
US,1986,D o H,62.1013852751664
US,1986,No c,65.7034228575739
US,1987,D o H,61.781603089165
US,1987,No c,65.3359885742018
US,1988,D o H,61.3976480864003
US,1988,No c,64.6595846232683
US,1989,D o H,61.4972279267041
US,1989,No c,64.0511027866934
US,1990,D o H,61.3331342108799
US,1990,No c,63.3891380612685
US,1991,D o H,61.4713870922873
US,1991,No c,62.6193667367467
US,1992,D o H,61.0551945379003
US,1992,No c,61.5114055810413
US,1993,D o H,60.9034559143041
US,1993,No c,60.513911970841
US,1994,D o H,60.7619109604164
US,1994,No c,59.7371910694381
US,1995,D o H,61.9081394973536
US,1995,No c,60.6690756045171
US,1996,D o H,62.2335911330529
US,1996,No c,61.1979494174028
US,1997,D o H,63.2163497629926
US,1997,No c,62.2767768390571
US,1998,D o H,63.2545895140159
US,1998,No c,61.6779460550492
US,1999,D o H,63.0531002950159
US,1999,No c,61.3707615325835
US,2000,D o H,62.5549847017954
US,2000,No c,61.151183333228
US,2001,D o H,62.3812868317046
US,2001,No c,61.0717900384246
US,2002,D o H,63.0175679388427
US,2002,No c,60.9435115644009
US,2003,D o H,63.933796087785
US,2003,No c,60.5479271293264
US,2004,D o H,64.1495857869052
US,2004,No c,60.3365823500581
US,2005,D o H,64.6027758605342
US,2005,No c,59.8998729149063
US,2006,D o H,64.0622788737121
US,2006,No c,59.4400583763667
US,2007,D o H,63.8366195279512
US,2007,No c,58.8887862600594
US,2008,D o H,62.6934366084105
US,2008,No c,58.1627109118449
US,2009,D o H,62.486795805616
US,2009,No c,57.2285358367039
US,2010,D o H,62.1900432683606
US,2010,No c,55.9706480533888
US,2011,D o H,61.9443325034656
US,2011,No c,55.3476442028627
US,2012,D o H,61.2843121875611
US,2012,No c,54.3975052170572
US,2013,D o H,60.6770602554794
US,2013,No c,53.8338135155861
US,2014,D o H,60.5757710369319
US,2014,No c,52.913456981217
US,2015,D o H,59.8998990007228
US,2015,No c,52.5340697883432
US,2016,D o H,58.8764685771041
US,2016,No c,51.8884328447802
US,2017,D o H,57.7581186581781
US,2017,No c,51.3290826929293
US,2018,D o H,57.912673020405
US,2018,No c,50.5350308997356
US,2019,D o H,58.4099469645593
US,2019,No c,50.5329624480044
US,2020,D o H,58.7406975200982
US,2020,No c,49.88945080526
US,2021,D o H,58.1314328261593
US,2021,No c,49.4485875748499
US,2022,D o H,57.754180117121
US,2022,No c,48.7274483554716
US,2023,D o H,57.6396169882267
US,2023,No c,48.6807682249687
US,2024,D o H,57.6249658284113
US,2024,No c,48.8644912949202
