facet,year,series,value
East Asia,1996,Cambodia,78.6565958179864
East Asia,1996,Indonesia,80.734027711508
East Asia,1997,Cambodia,78.1536209333582
East Asia,1997,Indonesia,80.5330900499787
East Asia,1998,Individual country,77.9776838133365
East Asia,1998,Cambodia,77.9776838133365
East Asia,1998,Indonesia,80.15515139729
East Asia,1999,Cambodia,77.8017466933148
East Asia,1999,Indonesia,79.2443473843212
East Asia,2000,Cambodia,77.8430615493644
East Asia,2000,Indonesia,78.8473184643373
East Asia,2000,Japan,50.5082283664791
East Asia,2000,S Korea,58.1832011033061
East Asia,2000,Thailand,72.0530047702436
East Asia,2001,Cambodia,77.884376405414
East Asia,2001,Indonesia,80.3853896669765
East Asia,2001,Japan,50.1261752024019
East Asia,2001,Philippines,64.7614884996519
East Asia,2001,S Korea,57.4362265520204
East Asia,2001,Thailand,71.6876281216103
East Asia,2001,Region average,64.4219862999362
East Asia,2002,Cambodia,77.9256912614636
East Asia,2002,Indonesia,81.3638778586362
East Asia,2002,Japan,49.3406546066314
East Asia,2002,Philippines,65.494724208517
East Asia,2002,S Korea,55.7919902424252
East Asia,2002,Thailand,71.322251472977
East Asia,2002,Region average,64.0717898357004
East Asia,2003,Cambodia,77.9670061175133
East Asia,2003,Indonesia,80.9435316165552
East Asia,2003,Japan,48.6450075430884
East Asia,2003,Philippines,66.2279599173821
East Asia,2003,S Korea,54.9276638448599
East Asia,2003,Thailand,70.9568748243436
East Asia,2003,Region average,63.6460146586812
East Asia,2004,Cambodia,77.6174698139789
East Asia,2004,Indonesia,80.5868306885046
East Asia,2004,Japan,48.254457378043
East Asia,2004,Philippines,69.2612924136376
East Asia,2004,S Korea,53.3534892522049
East Asia,2004,Thailand,70.5914981757103
East Asia,2004,Region average,63.4442594309827
East Asia,2005,Cambodia,77.2679335104445
East Asia,2005,Indonesia,79.4148484195225
East Asia,2005,Japan,47.6547176859178
East Asia,2005,Philippines,70.0906092416503
East Asia,2005,S Korea,50.2599394734016
East Asia,2005,Thailand,70.226121527077
East Asia,2005,Region average,62.564238242941
East Asia,2006,Cambodia,76.9183972069101
East Asia,2006,Indonesia,77.5675288906459
East Asia,2006,Japan,46.880123666937
East Asia,2006,Philippines,68.9233742954835
East Asia,2006,S Korea,47.0734955039842
East Asia,2006,Thailand,69.8607448784437
East Asia,2006,Region average,60.9004461746669
East Asia,2007,Cambodia,76.5688609033757
East Asia,2007,Indonesia,77.4507001920583
East Asia,2007,Japan,46.5001082698181
East Asia,2007,Philippines,67.7996297579762
East Asia,2007,S Korea,44.3606688688703
East Asia,2007,Thailand,69.4953682298103
East Asia,2007,Region average,59.6141079914091
East Asia,2008,Cambodia,73.7056879131704
East Asia,2008,Indonesia,78.0217415661469
East Asia,2008,Japan,46.3577265826282
East Asia,2008,Philippines,66.7687363686409
East Asia,2008,S Korea,43.165885129251
East Asia,2008,Thailand,68.2391480982013
East Asia,2008,Region average,58.5828964884374
East Asia,2009,Cambodia,73.0693034781736
East Asia,2009,Indonesia,77.4831022868707
East Asia,2009,Japan,46.3200193293774
East Asia,2009,Philippines,66.0637361529155
East Asia,2009,S Korea,43.1557600587693
East Asia,2009,Thailand,66.9829279665923
East Asia,2009,Region average,57.9420184395415
East Asia,2010,Cambodia,73.0178921482367
East Asia,2010,Hong Kong,37.8410070637344
East Asia,2010,Indonesia,76.4894163420847
East Asia,2010,Japan,45.8523328495509
East Asia,2010,Philippines,65.1846500033106
East Asia,2010,S Korea,42.7352821691339
East Asia,2010,Thailand,65.7267078349833
East Asia,2010,Viet Nam,78.1191636641682
East Asia,2010,Region average,57.3537402135959
East Asia,2011,Cambodia,72.070629550565
East Asia,2011,Hong Kong,37.9090783430917
East Asia,2011,Indonesia,76.9071829722216
East Asia,2011,Japan,45.4374844453798
East Asia,2011,Philippines,64.6903950341779
East Asia,2011,S Korea,41.7599071731429
East Asia,2011,Thailand,65.0780575401419
East Asia,2011,Viet Nam,77.5446407598607
East Asia,2011,Region average,56.8413300769752
East Asia,2012,Cambodia,69.6370006479173
East Asia,2012,Hong Kong,38.2550889925458
East Asia,2012,Indonesia,77.8016906478706
East Asia,2012,Japan,45.0981171418408
East Asia,2012,Philippines,64.6059331291007
East Asia,2012,S Korea,41.2134270969605
East Asia,2012,Thailand,64.4294072453004
East Asia,2012,Viet Nam,76.6460656168545
East Asia,2012,Region average,56.3131900466246
East Asia,2013,Cambodia,69.7294496898022
East Asia,2013,Hong Kong,38.8293672854142
East Asia,2013,Indonesia,77.1792407630534
East Asia,2013,Japan,44.87298990836
East Asia,2013,Philippines,63.976768753948
East Asia,2013,S Korea,40.8985931105595
East Asia,2013,Thailand,63.780756950459
East Asia,2013,Viet Nam,76.3148139637891
East Asia,2013,Region average,55.9634828170723
East Asia,2014,Cambodia,70.6318162523672
East Asia,2014,Hong Kong,39.045901688883
East Asia,2014,Indonesia,76.6837223958944
East Asia,2014,Japan,44.8750622222876
East Asia,2014,Philippines,63.2293382759842
East Asia,2014,S Korea,39.9970977138458
East Asia,2014,Thailand,61.4408315503816
East Asia,2014,Viet Nam,76.3278983555794
East Asia,2014,Region average,55.4744919442952
East Asia,2015,Cambodia,69.0752410633843
East Asia,2015,Hong Kong,39.2691693936597
East Asia,2015,Indonesia,75.6273219768714
East Asia,2015,Japan,44.4612459302347
East Asia,2015,Philippines,62.2299606572131
East Asia,2015,S Korea,38.3525640877946
East Asia,2015,Thailand,59.7120088075924
East Asia,2015,Viet Nam,76.789034881353
East Asia,2015,Region average,54.6116333285227
East Asia,2016,Cambodia,68.7655040801689
East Asia,2016,Hong Kong,39.2102486828557
East Asia,2016,Indonesia,74.3695097893951
East Asia,2016,Japan,44.3362832883943
East Asia,2016,Philippines,63.6590743184644
East Asia,2016,S Korea,36.1934267035764
East Asia,2016,Thailand,58.6610249414532
East Asia,2016,Viet Nam,76.3949485052668
East Asia,2016,Region average,54.0586186203715
East Asia,2017,Cambodia,66.6329294952029
East Asia,2017,Hong Kong,38.3601512908384
East Asia,2017,Indonesia,74.6630224450872
East Asia,2017,Japan,44.5432159629232
East Asia,2017,Philippines,65.8890351669592
East Asia,2017,S Korea,33.2732754155732
East Asia,2017,Thailand,57.1698934614638
East Asia,2017,Viet Nam,74.986696495356
East Asia,2017,Region average,53.3990529159475
East Asia,2018,Cambodia,67.1599789089609
East Asia,2018,Hong Kong,37.4561453373569
East Asia,2018,Indonesia,74.0839690737948
East Asia,2018,Japan,44.1264836706064
East Asia,2018,Philippines,65.4509059583536
East Asia,2018,S Korea,30.5339933364771
East Asia,2018,Thailand,56.6036421012733
East Asia,2018,Viet Nam,73.747144501994
East Asia,2018,Region average,52.8764488292408
East Asia,2019,Cambodia,67.6870283227188
East Asia,2019,Hong Kong,36.9382947056376
East Asia,2019,Indonesia,73.128061345098
East Asia,2019,Japan,43.9939906133318
East Asia,2019,Philippines,64.0297739194052
East Asia,2019,S Korea,28.4710668582436
East Asia,2019,Thailand,56.0684469796706
East Asia,2019,Viet Nam,73.7602416458235
East Asia,2019,Region average,52.2571565223928
East Asia,2020,Cambodia,71.3795084138324
East Asia,2020,Hong Kong,35.4608715722082
East Asia,2020,Indonesia,73.1166875649878
East Asia,2020,Japan,43.893032299932
East Asia,2020,Philippines,61.6520587982707
East Asia,2020,S Korea,26.4484465112578
