facet,year,series,value
Finland,1990,Coupling rate,89.2857142857143
Finland,1990,TFR,95.3352300177143
Finland,1991,Coupling rate,88.3928571428572
Finland,1991,TFR,96.2960974824199
Finland,1992,Coupling rate,85.7142857142857
Finland,1992,TFR,98.7653658274733
Finland,1993,Coupling rate,85.7142857142857
Finland,1993,TFR,97.4180041870202
Finland,1994,Coupling rate,87.5
Finland,1994,TFR,98.7438939288207
Finland,1995,Coupling rate,84.8214285714286
Finland,1995,TFR,96.9026786193569
Finland,1996,TFR,95.1151430565248
Finland,1997,Coupling rate,82.1428571428571
Finland,1997,TFR,93.4993826829137
Finland,1998,Coupling rate,83.0357142857143
Finland,1998,TFR,91.3575607923131
Finland,1999,Coupling rate,83.9285714285714
Finland,1999,TFR,92.833753824682
Finland,2000,Coupling rate,87.5
Finland,2000,TFR,92.6297707874819
Finland,2001,Coupling rate,88.3928571428572
Finland,2001,TFR,92.4257877502818
Finland,2002,Coupling rate,89.2857142857143
Finland,2002,TFR,92.194964839766
Finland,2003,Coupling rate,91.0714285714286
Finland,2003,TFR,94.2723710344087
Finland,2004,Coupling rate,94.6428571428572
Finland,2004,TFR,96.3283053303988
Finland,2005,Coupling rate,100.0
Finland,2005,TFR,96.6557517848516
Finland,2006,Coupling rate,98.2142857142857
Finland,2006,TFR,98.35203177841
Finland,2007,Coupling rate,98.2142857142857
Finland,2007,TFR,98.1104729185678
Finland,2008,Coupling rate,101.785714285714
Finland,2008,TFR,98.9264050673681
Finland,2009,Coupling rate,101.785714285714
Finland,2009,TFR,99.8389607601052
Finland,2010,Coupling rate,100.0
Finland,2010,TFR,100.0
Finland,2011,Coupling rate,97.3214285714286
Finland,2011,TFR,98.0031134253046
Finland,2012,Coupling rate,94.6428571428572
Finland,2012,TFR,96.467872671641
Finland,2013,Coupling rate,88.3928571428571
Finland,2013,TFR,93.6979977454506
Finland,2014,Coupling rate,81.25
Finland,2014,TFR,91.5991196521552
Finland,2015,Coupling rate,80.3571428571428
Finland,2015,TFR,88.3246551076279
Finland,2016,Coupling rate,80.3571428571428
Finland,2016,TFR,84.0034355037844
Finland,2017,Coupling rate,83.0357142857143
Finland,2017,TFR,79.8378871651726
Finland,2018,Coupling rate,81.25
Finland,2018,TFR,75.5381394599817
Finland,2019,Coupling rate,74.1071428571428
Finland,2019,TFR,72.5052337752966
Finland,2020,TFR,73.7506038971496
Finland,2021,TFR,78.4207418540985
Finland,2022,TFR,70.7499060604434
Finland,2023,TFR,67.6364807558108
Mexico,1990,cr,148.0
Mexico,1990,tfr,147.149816255021
Mexico,1991,cr,148.0
Mexico,1991,tfr,143.709939321426
Mexico,1992,cr,148.0
Mexico,1992,tfr,140.385437142125
Mexico,1993,cr,146.0
Mexico,1993,tfr,137.227587385694
Mexico,1994,cr,144.0
Mexico,1994,tfr,133.821895564482
Mexico,1995,cr,142.0
Mexico,1995,tfr,130.057260063242
Mexico,1996,cr,140.0
Mexico,1996,tfr,126.651568242031
Mexico,1997,cr,143.0
Mexico,1997,tfr,123.314246645586
Mexico,1998,cr,145.0
Mexico,1998,tfr,120.271771643449
Mexico,1999,cr,147.0
Mexico,1999,tfr,118.06683189471
Mexico,2000,cr,145.0
Mexico,2000,tfr,115.972993761217
Mexico,2001,cr,135.0
Mexico,2001,tfr,114.126997692505
Mexico,2002,cr,125.0
Mexico,2002,tfr,112.498931715238
Mexico,2003,cr,116.0
Mexico,2003,tfr,110.217075463636
Mexico,2004,cr,113.0
Mexico,2004,tfr,108.375352533971
Mexico,2005,cr,113.0
Mexico,2005,tfr,106.601999829074
Mexico,2006,cr,110.0
Mexico,2006,tfr,104.94829501752
Mexico,2007,cr,108.0
Mexico,2007,tfr,103.461242628835
Mexico,2008,cr,107.0
Mexico,2008,tfr,102.157935219212
Mexico,2009,cr,103.0
Mexico,2009,tfr,101.021280232459
Mexico,2010,cr,100.0
Mexico,2010,tfr,100.0
Mexico,2011,cr,99.0
Mexico,2011,tfr,99.0257242970686
Mexico,2012,cr,99.0
Mexico,2012,tfr,98.0386291769934
Mexico,2013,cr,99.0
Mexico,2013,tfr,96.9660712759593
Mexico,2014,cr,97.0
Mexico,2014,tfr,94.4620117938638
Mexico,2015,cr,94.0
Mexico,2015,tfr,91.3084351764807
Mexico,2016,cr,90.0
Mexico,2016,tfr,89.120587983933
Mexico,2017,cr,87.0
Mexico,2017,tfr,87.1976754123579
Mexico,2018,cr,83.0
Mexico,2018,tfr,86.7447226732758
Mexico,2019,cr,80.0
Mexico,2019,tfr,82.0442697205367
Mexico,2020,tfr,81.6169558157422
Mexico,2021,tfr,77.7711306725921
Mexico,2022,tfr,76.9165028630032
Mexico,2023,tfr,68.3702247671139
Peru,1997,cr,110.884778693535
Peru,1997,tfr,128.000165241459
Peru,1998,cr,110.48565991161
Peru,1998,tfr,124.034370223489
Peru,1999,cr,109.936409180516
Peru,1999,tfr,120.50233403561
Peru,2000,cr,108.645709430612
Peru,2000,tfr,117.532118808609
Peru,2001,cr,108.713336894067
Peru,2001,tfr,113.355640930309
Peru,2002,cr,109.745080037306
Peru,2002,tfr,111.257074399967
Peru,2003,cr,104.972632293845
Peru,2003,tfr,109.947535836741
Peru,2004,cr,100.723828424382
Peru,2004,tfr,110.443260213988
Peru,2005,cr,101.774573865736
Peru,2005,tfr,109.195687197918
Peru,2006,cr,101.098166403968
Peru,2006,tfr,108.187714297517
Peru,2007,cr,101.979946271144
Peru,2007,tfr,106.721196348164
Peru,2008,cr,102.802495329209
Peru,2008,tfr,104.440864212831
Peru,2009,cr,100.976926980076
Peru,2009,tfr,102.437311521461
Peru,2010,cr,100.0
Peru,2010,tfr,100.0
Peru,2011,cr,97.1357226129834
Peru,2011,tfr,99.6736481183129
Peru,2012,cr,93.5673850882142
Peru,2012,tfr,97.3189573263932
Peru,2013,cr,91.4946009100411
Peru,2013,tfr,95.720246209774
Peru,2014,cr,90.6094373986813
Peru,2014,tfr,93.8323625397612
Peru,2015,cr,93.1965442684213
Peru,2015,tfr,92.072541000537
Peru,2016,cr,96.5386011931509
Peru,2016,tfr,90.4283884826703
Peru,2017,cr,96.3133976188262
Peru,2017,tfr,88.9040360226381
Peru,2018,cr,93.2253556038726
Peru,2018,tfr,87.4829594745322
Peru,2019,cr,89.8569195412935
Peru,2019,tfr,86.1692898748296
Peru,2020,cr,88.6241706894661
Peru,2020,tfr,84.9465030776222
Peru,2021,cr,87.8825343621747
Peru,2021,tfr,83.8145990829099
Peru,2022,cr,85.9977080354357
Peru,2022,tfr,76.0110711777585
S Korea,1990,cr,146.456692913386
S Korea,1990,tfr,130.666992824527
S Korea,1991,cr,148.818897637795
S Korea,1991,tfr,138.755707762557
S Korea,1992,cr,151.181102362205
S Korea,1992,tfr,141.707436399217
S Korea,1993,cr,146.456692913386
S Korea,1993,tfr,137.206457925636
S Korea,1994,cr,139.370078740157
S Korea,1994,tfr,136.211676451402
S Korea,1995,cr,137.007874015748
S Korea,1995,tfr,134.181343770385
S Korea,1996,cr,142.51968503937
S Korea,1996,tfr,130.406066536204
S Korea,1997,cr,140.157480314961
S Korea,1997,tfr,126.826484018265
S Korea,1998,cr,129.133858267717
S Korea,1998,tfr,122.03196347032
S Korea,1999,cr,122.834645669291
S Korea,1999,tfr,119.814090019569
S Korea,2000,cr,114.96062992126
S Korea,2000,tfr,119.634703196347
S Korea,2001,cr,107.874015748032
S Korea,2001,tfr,109.450424005219
S Korea,2002,cr,102.362204724409
S Korea,2002,tfr,100.057077625571
S Korea,2003,cr,99.2125984251969
S Korea,2003,tfr,97.7332028701892
S Korea,2004,cr,100.0
S Korea,2004,tfr,94.9037834311807
S Korea,2005,cr,101.574803149606
S Korea,2005,tfr,90.9246575342466
S Korea,2006,cr,104.724409448819
S Korea,2006,tfr,93.3545335942596
S Korea,2007,cr,108.661417322835
S Korea,2007,tfr,99.0704500978474
S Korea,2008,cr,107.086614173228
S Korea,2008,tfr,97.0727332028702
S Korea,2009,cr,100.787401574803
S Korea,2009,tfr,96.029028049576
S Korea,2010,cr,100.0
S Korea,2010,tfr,100.0
S Korea,2011,cr,103.149606299213
S Korea,2011,tfr,102.584801043705
S Korea,2012,cr,103.149606299213
S Korea,2012,tfr,103.856816699282
S Korea,2013,cr,101.574803149606
S Korea,2013,tfr,98.303979125897
S Korea,2014,cr,97.6377952755905
S Korea,2014,tfr,97.6027397260274
S Korea,2015,cr,93.7007874015748
S Korea,2015,tfr,97.9859752120026
S Korea,2016,cr,89.7637795275591
S Korea,2016,tfr,92.9631441617743
S Korea,2017,cr,84.251968503937
S Korea,2017,tfr,84.4015003261579
S Korea,2018,cr,80.3149606299213
S Korea,2018,tfr,77.5603392041748
S Korea,2019,cr,76.3779527559055
S Korea,2019,tfr,71.7954990215264
S Korea,2020,tfr,66.2181996086106
